"SrNo","StationID","Date_from","Date_to","ECR"
"224","405","2021-04-01","2021-04-30","3.088"
"225","406","2021-04-01","2021-04-30","3.061"
"226","407","2021-04-01","2021-04-30","2.885"
"227","426","2021-04-01","2021-04-30","1.578"
"228","427","2021-04-01","2021-04-30","1.521"
"229","428","2021-04-01","2021-04-30","1.512"
"230","429","2021-04-01","2021-04-30","1.488"
"231","430","2021-04-01","2021-04-30","1.535"
"232","135","2021-04-01","2021-04-30","3.264"
"233","418","2021-04-01","2021-04-30","3.063"
"234","55","2021-04-01","2021-04-30","2.279"
"235","14","2021-04-01","2021-04-30","2.038"
"236","16","2021-04-01","2021-04-30","0.000"
"237","15","2021-04-01","2021-04-30","12.761"
"238","22","2021-04-01","2021-04-30","2.188"
"239","24","2021-04-01","2021-04-30","7.601"
"240","23","2021-04-01","2021-04-30","12.716"
"241","71","2021-04-01","2021-04-30","1.966"
"242","73","2021-04-01","2021-04-30","6.580"
"243","72","2021-04-01","2021-04-30","12.467"
"244","94","2021-04-01","2021-04-30","1.924"
"245","99","2021-04-01","2021-04-30","1.586"
"246","102","2021-04-01","2021-04-30","6.449"
"247","101","2021-04-01","2021-04-30","0.000"
"248","150","2021-04-01","2021-04-30","0.000"
"249","153","2021-04-01","2021-04-30","5.275"
"250","154","2021-04-01","2021-04-30","16.094"
"251","152","2021-04-01","2021-04-30","1.597"
"252","311","2021-04-01","2021-04-30","6.709"
"253","35","2021-05-01","2021-05-31","2.789"
"254","34","2021-05-01","2021-05-31","2.736"
"255","43","2021-05-01","2021-05-31","2.947"
"256","74","2021-05-01","2021-05-31","2.996"
"257","75","2021-05-01","2021-05-31","3.032"
"258","77","2021-05-01","2021-05-31","1.098"
"259","96","2021-05-01","2021-05-31","2.693"
"260","97","2021-05-01","2021-05-31","2.644"
"261","98","2021-05-01","2021-05-31","2.741"
"262","161","2021-05-01","2021-05-31","2.137"
"263","162","2021-05-01","2021-05-31","2.026"
"264","159","2021-05-01","2021-05-31","2.697"
"265","189","2021-05-01","2021-05-31","1.307"
"266","190","2021-05-01","2021-05-31","1.282"
"267","191","2021-05-01","2021-05-31","3.602"
"268","198","2021-05-01","2021-05-31","2.071"
"269","223","2021-05-01","2021-05-31","2.678"
"270","224","2021-05-01","2021-05-31","2.921"
"271","323","2021-05-01","2021-05-31","2.474"
"272","324","2021-05-01","2021-05-31","2.426"
"273","316","2021-05-01","2021-05-31","1.378"
"274","317","2021-05-01","2021-05-31","1.375"
"275","318","2021-05-01","2021-05-31","1.357"
"276","339","2021-05-01","2021-05-31","2.972"
"277","340","2021-05-01","2021-05-31","2.941"
"278","343","2021-05-01","2021-05-31","1.393"
"279","345","2021-05-01","2021-05-31","1.401"
"280","346","2021-05-01","2021-05-31","1.445"
"281","350","2021-05-01","2021-05-31","3.485"
"282","391","2021-05-01","2021-05-31","1.902"
"283","370","2021-05-01","2021-05-31","1.914"
"284","368","2021-05-01","2021-05-31","0.000"
"285","374","2021-05-01","2021-05-31","2.616"
"286","404","2021-05-01","2021-05-31","3.183"
"287","405","2021-05-01","2021-05-31","3.211"
"288","406","2021-05-01","2021-05-31","3.183"
"289","407","2021-05-01","2021-05-31","3.000"
"290","426","2021-05-01","2021-05-31","1.531"
"291","427","2021-05-01","2021-05-31","1.476"
"292","428","2021-05-01","2021-05-31","1.463"
"293","429","2021-05-01","2021-05-31","1.444"
"294","430","2021-05-01","2021-05-31","1.490"
"295","135","2021-05-01","2021-05-31","0.000"
"296","418","2021-05-01","2021-05-31","0.000"
"297","55","2021-05-01","2021-05-31","2.339"
"298","14","2021-05-01","2021-05-31","1.911"
"299","16","2021-05-01","2021-05-31","0.000"
"300","15","2021-05-01","2021-05-31","12.761"
"301","22","2021-05-01","2021-05-31","2.168"
"302","24","2021-05-01","2021-05-31","8.432"
"303","23","2021-05-01","2021-05-31","12.716"
"304","71","2021-05-01","2021-05-31","2.038"
"305","73","2021-05-01","2021-05-31","6.580"
"306","72","2021-05-01","2021-05-31","12.465"
"307","94","2021-05-01","2021-05-31","1.947"
"308","99","2021-05-01","2021-05-31","1.517"
"309","102","2021-05-01","2021-05-31","5.948"
"310","101","2021-05-01","2021-05-31","1.590"
"311","150","2021-05-01","2021-05-31","0.000"
"312","153","2021-05-01","2021-05-31","5.985"
"313","154","2021-05-01","2021-05-31","16.094"
"314","152","2021-05-01","2021-05-31","1.597"
"315","311","2021-05-01","2021-05-31","0.000"
