"SrNo","StateID","StationID","VC","date_from","date_to"
"307","6","347","1.600","2021-05-01","2021-06-15"
"308","6","350","3.485","2021-05-01","2021-06-15"
"309","6","357","1.600","2021-05-01","2021-06-15"
"310","6","428","1.463","2021-05-01","2021-06-15"
"311","6","429","1.444","2021-05-01","2021-06-15"
"312","6","430","1.490","2021-05-01","2021-06-15"
"313","6","480","1.272","2021-05-01","2021-06-15"
"314","6","481","1.600","2021-05-01","2021-06-15"
"315","6","1","1.600","2021-04-01","2021-04-30"
"316","6","29","1.655","2021-04-01","2021-04-30"
"317","6","98","2.565","2021-04-01","2021-04-30"
"318","6","140","1.544","2021-04-01","2021-04-30"
"319","6","159","2.662","2021-04-01","2021-04-30"
"320","6","162","2.014","2021-04-01","2021-04-30"
"321","6","175","1.681","2021-04-01","2021-04-30"
"322","6","177","0.000","2021-04-01","2021-04-30"
"323","6","188","1.600","2021-04-01","2021-04-30"
"324","6","189","1.324","2021-04-01","2021-04-30"
"325","6","190","1.297","2021-04-01","2021-04-30"
"326","6","198","2.053","2021-04-01","2021-04-30"
"327","6","212","1.546","2021-04-01","2021-04-30"
"328","6","214","1.600","2021-04-01","2021-04-30"
"329","6","223","2.599","2021-04-01","2021-04-30"
"330","6","224","2.838","2021-04-01","2021-04-30"
"331","6","249","2.456","2021-04-01","2021-04-30"
"332","6","308","1.600","2021-04-01","2021-04-30"
"333","6","345","1.365","2021-04-01","2021-04-30"
"334","6","346","1.408","2021-04-01","2021-04-30"
"335","6","347","1.600","2021-04-01","2021-04-30"
"336","6","350","3.283","2021-04-01","2021-04-30"
"337","6","357","1.600","2021-04-01","2021-04-30"
"338","6","428","1.512","2021-04-01","2021-04-30"
"339","6","429","1.488","2021-04-01","2021-04-30"
"340","6","430","1.535","2021-04-01","2021-04-30"
"341","6","480","1.272","2021-04-01","2021-04-30"
"342","6","481","1.600","2021-04-01","2021-04-30"
"343","6","1","1.600","2021-03-01","2021-03-31"
"344","6","29","1.655","2021-03-01","2021-03-31"
"345","6","98","2.565","2021-03-01","2021-03-31"
"346","6","140","1.544","2021-03-01","2021-03-31"
"347","6","159","2.662","2021-03-01","2021-03-31"
"348","6","162","2.014","2021-03-01","2021-03-31"
"349","6","175","1.681","2021-03-01","2021-03-31"
"350","6","177","0.000","2021-03-01","2021-03-31"
"351","6","188","1.600","2021-03-01","2021-03-31"
"352","6","189","1.324","2021-03-01","2021-03-31"
"353","6","190","1.297","2021-03-01","2021-03-31"
"354","6","198","2.053","2021-03-01","2021-03-31"
"355","6","212","1.546","2021-03-01","2021-03-31"
"356","6","214","1.600","2021-03-01","2021-03-31"
"357","6","223","2.599","2021-03-01","2021-03-31"
"358","6","224","2.838","2021-03-01","2021-03-31"
"359","6","249","2.456","2021-03-01","2021-03-31"
"360","6","308","1.600","2021-03-01","2021-03-31"
"361","6","345","1.365","2021-03-01","2021-03-31"
"362","6","346","1.408","2021-03-01","2021-03-31"
"363","6","347","1.600","2021-03-01","2021-03-31"
"364","6","350","3.283","2021-03-01","2021-03-31"
"365","6","357","1.600","2021-03-01","2021-03-31"
"366","6","428","1.512","2021-03-01","2021-03-31"
"367","6","429","1.488","2021-03-01","2021-03-31"
"368","6","430","1.535","2021-03-01","2021-03-31"
"369","6","480","1.272","2021-03-01","2021-03-31"
"370","6","481","1.600","2021-03-01","2021-03-31"
"371","9","14","2.100","2021-06-01",NULL
"372","9","15","12.750","2021-06-01",NULL
"373","9","16","7.960","2021-06-01",NULL
"374","9","22","2.150","2021-06-01",NULL
"375","9","23","12.570","2021-06-01",NULL
"376","9","24","7.960","2021-06-01",NULL
"377","9","40","2.650","2021-06-01",NULL
"378","9","57","0.790","2021-06-01",NULL
"379","9","61","1.180","2021-06-01",NULL
"380","9","62","1.040","2021-06-01",NULL
"381","9","63","2.040","2021-06-01",NULL
"382","9","71","2.090","2021-06-01",NULL
"383","9","72","12.440","2021-06-01",NULL
"384","9","73","7.720","2021-06-01",NULL
"385","9","74","3.040","2021-06-01",NULL
"386","9","75","3.110","2021-06-01",NULL
"387","9","82","3.790","2021-06-01",NULL
"388","9","85","1.260","2021-06-01",NULL
"389","9","91","2.850","2021-06-01",NULL
"390","9","96","2.730","2021-06-01",NULL
"391","9","135","3.290","2021-06-01",NULL
"392","9","161","2.300","2021-06-01",NULL
"393","9","162","2.180","2021-06-01",NULL
"394","9","180","2.400","2021-06-01",NULL
"395","9","219","3.050","2021-06-01",NULL
"396","9","235","3.200","2021-06-01",NULL
"397","9","240","1.180","2021-06-01",NULL
"398","9","281","1.600","2021-06-01",NULL
"399","9","287","5.530","2021-06-01",NULL
"400","9","305","4.050","2021-06-01",NULL
"401","9","316","1.430","2021-06-01",NULL
"402","9","317","1.430","2021-06-01",NULL
"403","9","318","1.480","2021-06-01",NULL
"404","9","328","0.620","2021-06-01",NULL
"405","9","333","1.190","2021-06-01",NULL
"406","9","336","2.750","2021-06-01",NULL
"407","9","343","1.460","2021-06-01",NULL
"408","9","368","2.160","2021-06-01",NULL
"409","9","372","1.710","2021-06-01",NULL
"410","9","379","2.120","2021-06-01",NULL
"411","9","404","3.040","2021-06-01",NULL
"412","9","405","3.070","2021-06-01",NULL
"413","9","406","3.040","2021-06-01",NULL
"414","9","413","0.850","2021-06-01",NULL
"415","9","414","2.210","2021-06-01",NULL
"416","9","14","2.100","2021-05-01","2021-05-31"
"417","9","15","12.750","2021-05-01","2021-05-31"
"418","9","16","7.960","2021-05-01","2021-05-31"
"419","9","22","2.150","2021-05-01","2021-05-31"
"420","9","23","12.570","2021-05-01","2021-05-31"
"421","9","24","7.960","2021-05-01","2021-05-31"
"422","9","40","2.650","2021-05-01","2021-05-31"
"423","9","57","0.790","2021-05-01","2021-05-31"
"424","9","61","1.180","2021-05-01","2021-05-31"
"425","9","62","1.040","2021-05-01","2021-05-31"
"426","9","63","2.040","2021-05-01","2021-05-31"
"427","9","71","2.090","2021-05-01","2021-05-31"
"428","9","72","12.440","2021-05-01","2021-05-31"
"429","9","73","7.720","2021-05-01","2021-05-31"
"430","9","74","3.040","2021-05-01","2021-05-31"
"431","9","75","3.110","2021-05-01","2021-05-31"
"432","9","82","3.790","2021-05-01","2021-05-31"
"433","9","85","1.260","2021-05-01","2021-05-31"
"434","9","91","2.850","2021-05-01","2021-05-31"
"435","9","96","2.730","2021-05-01","2021-05-31"
"436","9","135","3.290","2021-05-01","2021-05-31"
"437","9","161","2.300","2021-05-01","2021-05-31"
"438","9","162","2.180","2021-05-01","2021-05-31"
"439","9","180","2.400","2021-05-01","2021-05-31"
"440","9","219","3.050","2021-05-01","2021-05-31"
"441","9","235","3.200","2021-05-01","2021-05-31"
"442","9","240","1.180","2021-05-01","2021-05-31"
"443","9","281","1.600","2021-05-01","2021-05-31"
"444","9","287","5.530","2021-05-01","2021-05-31"
"445","9","305","4.050","2021-05-01","2021-05-31"
"446","9","316","1.430","2021-05-01","2021-05-31"
"447","9","317","1.430","2021-05-01","2021-05-31"
"448","9","318","1.480","2021-05-01","2021-05-31"
"449","9","328","0.620","2021-05-01","2021-05-31"
"450","9","333","1.190","2021-05-01","2021-05-31"
"451","9","336","2.750","2021-05-01","2021-05-31"
"452","9","343","1.460","2021-05-01","2021-05-31"
"453","9","368","2.160","2021-05-01","2021-05-31"
"454","9","372","1.710","2021-05-01","2021-05-31"
"455","9","379","2.120","2021-05-01","2021-05-31"
"456","9","404","3.040","2021-05-01","2021-05-31"
"457","9","405","3.070","2021-05-01","2021-05-31"
"458","9","406","3.040","2021-05-01","2021-05-31"
"459","9","413","0.850","2021-05-01","2021-05-31"
"460","9","414","2.210","2021-05-01","2021-05-31"
"461","11","1","0.750","2021-06-17",NULL
"462","11","7","1.390","2021-06-17",NULL
"463","11","17","3.770","2021-06-17",NULL
"464","11","60","1.790","2021-06-17",NULL
"465","11","98","2.920","2021-06-17",NULL
"466","11","99","1.580","2021-06-17",NULL
"467","11","101","1.670","2021-06-17",NULL
"468","11","102","7.580","2021-06-17",NULL
"469","11","103","3.880","2021-06-17",NULL
"470","11","107","2.150","2021-06-17",NULL
"471","11","148","2.360","2021-06-17",NULL
"472","11","150","1.590","2021-06-17",NULL
"473","11","152","1.640","2021-06-17",NULL
"474","11","153","7.720","2021-06-17",NULL
"475","11","159","2.960","2021-06-17",NULL
"476","11","162","2.290","2021-06-17",NULL
"477","11","167","2.960","2021-06-17",NULL
"478","11","189","1.480","2021-06-17",NULL
"479","11","190","1.450","2021-06-17",NULL
"480","11","198","2.120","2021-06-17",NULL
