"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"197","LANCO (GAS)","PSP","LANCO (GAS)","0","0","0","0","0",,,,
"198","LARA-I","ISGS","LARA-I","1600","CS","NTPC","Coal","0",,,,
"199","Likimro","PSP","Likimro","0","NULL","NULL","Others","Others","NULL",,,
"200","LOKTAK","ISGS","LOKTAK","105","0","Others","HYDRO","0",,,,
"201","LOWER PERIYAR ","PSP","LOWER PERIYAR ","0","0","Hydro","0","0",,,,
"202","LOWER SILERU","PSP","LOWER SILERU","0","0","0","0","0",,,,
"203","LRPP","PSP","LRPP","0","NULL","NULL","Gas","Gas","NULL",,,
"204","LTPS","PSP","LTPS","0","NULL","NULL","Gas","Gas","NULL",,,
"205","MACHKUND","PSP","MACHKUND","120","0","Hydro","0","0",,,,
"206","MADURAI POWER CL (DIESEL)","PSP","MADURAI POWER CL (DIESEL)","0","NULL","NULL","Gas","Gas","NULL",,,
"207","MAGNUM DIESEL (IPP)","PSP","MAGNUM DIESEL (IPP)","0","0","Others","0","0",,,,
"208","MALANA (IPP) HPS","PSP","MALANA (IPP) HPS","0","0","Hydro","0","0",,,,
"209","MALANA2-HP","LTA","MALANA2-HP","0","0","Hydro","0","0",,,,
"210","MANGDECHU","ISGS","MANGDECHU","720","0","Hydro","0","0",,,,
"211","MAPS","ISGS","MAPS","440","0","Nuclear","0","0",,,,
"212","MARWA TPS","PSP","MARWA TPS","1000","LTOA","Thermal","Coal","0",,,,
"213","MBMP","LTA","MBMP","600","0","Thermal","0","0",,,,
"214","MCCPL","LTA","MCCPL","300","IPP","Thermal","Coal","0",,,,
"215","MEENAKSHI POWER LTD","PSP","MEENAKSHI POWER LTD","37","0","RE","0","0",,,,
"216","MEJA","LTA","MEJA","660","CS","NTPC","0","0",,,,
"217","MEJA TPS","PSP","MEJA TPS","660","0","NTPC","0","0",,,,
"218","MEJB","LTA","MEJB","0","0","Others","0","0",,,,
"219","MEJIA","LTA","MEJIA","0","0","Others","0","0",,,,
"220","METTUR TPS","PSP","METTUR TPS","0","NULL","NULL","Thermal","Others","NULL",,,
"221","Mini Hydro","PSP","Mini Hydro","0","NULL","NULL","Others","Others","NULL",,,
"222","Monarchak(Thermal)","PSP","Monarchak(Thermal)","0","NULL","NULL","Others","Others","NULL",,,
"223","MOUDA","ISGS","MOUDA","1000","CS","NTPC","Coal","0",,,,
"224","MOUDA_II","ISGS","MOUDA_II","1320","CS","NTPC","Coal","0",,,,
"225","MPL","LTA","MPL","0","0","Others","0","0",,,,
"226","MPS STEEL CASTINGS","PSP","MPS STEEL CASTINGS","0","0","Others","0","0",,,,
"227","MTATLA","LTA","MTATLA","0","NULL","NULL","Hydro","MustRun","NULL",,,
"228","MTPS-II","ISGS","MTPS-II","390","0","Thermal","0","0",,,,
"229","MUKERIAN HYDRO PLANT","PSP","MUKERIAN HYDRO PLANT","0","0","Hydro","0","0",,,,
"230","MUZAFFARPUR TPS ","PSP","MUZAFFARPUR TPS ","0","NULL","NULL","Thermal","Others","NULL",,,
"231","Myndtu Leshka","PSP","Myndtu Leshka","0","NULL","NULL","Others","Others","NULL",,,
"232","NAGARJUNA SAGAR","PSP","NAGARJUNA SAGAR","816","0","Hydro","0","0",,,,
"233","NAGARJUNA SAGAR (PUMP)","PSP","NAGARJUNA SAGAR (PUMP)","60","0","Hydro","0","0",,,,
"234","NAGJHERI","PSP","NAGJHERI","0","0","Hydro","0","0",,,,
"235","NAPP","ISGS","NAPP","440","0","Nuclear","0","0",,,,
"236","NASIK ","PSP","NASIK ","0","MSPGCL","Thermal","Coal","0",,,,
"237","NAVA BHARAT VENTURES LIMITED(NBVL)","PSP","NAVA BHARAT VENTURES LIMITED(NBVL)","0","0","Thermal","0","0",,,,
"238","New Umtru","PSP","New Umtru","0","NULL","NULL","Others","Others","NULL",,,
"239","NEYVELI","0","NEYVELI","0","0","0","0","0",,,,
"240","NJPC","ISGS","NJPC","1500","0","Hydro","0","0",,,,
"241","NLCEXP","ISGS","NLCEXP","420","0","Others","0","0",,,,
"242","NLCIIST1","ISGS","NLCIIST1","630","0","Others","0","0",,,,
"243","NLCIIST2","ISGS","NLCIIST2","840","0","Others","0","0",,,,
"244","NLCTS2EXP","ISGS","NLCTS2EXP","500","0","Others","0","0",,,,
"245","NNTPP","ISGS","NNTPP","1000","0","Others","0","0",,,,
"246","NORTH CHENNAI TPS","PSP","NORTH CHENNAI TPS","0","NULL","NULL","Thermal","Others","NULL",,,
